lsuarez        02/09/2010 07:35:40 D D
icespedes      02/09/2010 07:53:18 D D
mjaldin        02/09/2010 07:57:26 D D
rarteaga       02/09/2010 08:01:00 D D
jguarachi      02/09/2010 08:10:51 D D
mzambrana      02/09/2010 08:11:58 D D
cmollo         02/09/2010 08:12:05 D D
layllon        02/09/2010 08:12:59 D D
jmita          02/09/2010 08:13:05 D D
jparra         02/09/2010 08:13:12 D D
msinaniz       02/09/2010 08:15:56 D D
adelgadillo    02/09/2010 08:16:06 D D
jdurandal      02/09/2010 08:16:11 D D
mayma          02/09/2010 08:17:22 D D
jcarvallo      02/09/2010 08:19:49 D D
scastro        02/09/2010 08:21:22 D D
sclaros        02/09/2010 08:21:28 D D
tsoliz         02/09/2010 08:21:34 D D
hcaceres       02/09/2010 08:21:41 D D
rchumacero     02/09/2010 08:22:15 D D
rmedrano       02/09/2010 08:22:43 D D
oantezana      02/09/2010 08:22:52 D D
rbueno         02/09/2010 08:23:30 D D
jrojas         02/09/2010 08:23:36 D D
farnez         02/09/2010 08:24:15 D D
rcordova       02/09/2010 08:24:27 D D
drocabado      02/09/2010 08:24:53 D D
alaura         02/09/2010 08:25:01 D D
mcarvajal      02/09/2010 08:25:26 D D
wrioja         02/09/2010 08:25:37 D D
enotta         02/09/2010 08:26:44 D D
dayaviri       02/09/2010 08:27:10 D D
esanabria      02/09/2010 08:27:23 D D
schopitea      02/09/2010 08:27:55 D D
malmanza       02/09/2010 08:28:02 D D
avillegas      02/09/2010 08:28:39 D D
eargandona     02/09/2010 08:28:46 D D
gherbas        02/09/2010 08:28:52 D D
jrivera        02/09/2010 08:28:58 D D
frojas         02/09/2010 08:29:05 D D
rsalamanca     02/09/2010 08:29:18 D D
rvia           02/09/2010 08:29:25 D D
rpereira       02/09/2010 08:29:33 D D
jbaptista      02/09/2010 08:29:50 D D
amachaca       02/09/2010 08:29:55 D D
rbaldelomar    02/09/2010 08:30:09 D D
kmontalvo      02/09/2010 08:31:01 D D
fmosquera      02/09/2010 08:31:06 D D
ovelarde       02/09/2010 08:31:42 D D
dmitma         02/09/2010 08:31:50 D D
oferrufino     02/09/2010 08:31:56 D D
gvelasquez     02/09/2010 08:32:04 D D
dsuarez        02/09/2010 08:32:34 D D
czamora        02/09/2010 08:33:36 D D
galcala        02/09/2010 08:33:43 D D
fllallagua     02/09/2010 08:33:52 D D
rclaure        02/09/2010 08:35:11 D D
acamacho       02/09/2010 08:35:31 D D
jsiles         02/09/2010 08:35:56 D D
dcastro        02/09/2010 08:36:02 D D
hmaldonado     02/09/2010 08:36:09 D D
mmejia         02/09/2010 08:36:16 D D
dpalomino      02/09/2010 08:36:23 D D
esolis         02/09/2010 08:36:31 D D
plema          02/09/2010 08:37:21 D D
mmontano       02/09/2010 08:37:41 D D
baranibar      02/09/2010 08:37:58 D D
icvargas       02/09/2010 08:38:08 D D
jquispe        02/09/2010 08:39:10 D D
bgranado       02/09/2010 08:39:27 D D
rrodriguez     02/09/2010 08:41:33 D D
cquiroga       02/09/2010 08:41:47 D D
csubieta       02/09/2010 08:42:24 D D
fvega          02/09/2010 08:42:57 D D
ebeltran       02/09/2010 08:46:52 D D
gcastro        02/09/2010 08:47:01 D D
krojas         02/09/2010 08:47:52 D D
jcardenas      02/09/2010 08:48:00 D D
smarino        02/09/2010 08:50:05 D D
jduran         02/09/2010 08:50:34 D D
jaquispe       02/09/2010 08:52:05 D D
adelgadillo    02/09/2010 12:29:02 D D
rbueno         02/09/2010 12:30:20 D D
