lortuno      02/01/2010 7:57   D
cmollo       02/01/2010 8:00   D
rcoronel     02/01/2010 8:01   D
randia       02/01/2010 8:03   D
vsoliz       02/01/2010 8:04   D
jsolorzano   02/01/2010 8:14   D
avillegas    02/01/2010 8:14   D
jfuertes     02/01/2010 8:17   D
baranibar    02/01/2010 8:19   D
dayaviri     02/01/2010 8:20   D
gmontano     02/01/2010 8:27   D
jcanedo      02/01/2010 8:27   D
tarze        02/01/2010 8:28   D
jvargas      02/01/2010 8:31   D
pramirez     02/01/2010 8:31   D
mgrandillert 02/01/2010 8:33   D
mgrandillert 02/01/2010 8:33   D
czamora      02/01/2010 8:35   D
eyrady       02/01/2010 8:35   D
fsanchez     02/01/2010 8:35   D
rmartinez    02/01/2010 8:37   D
lgalindo     02/01/2010 8:37   D
rmedrano     02/01/2010 8:39   D
ecotana      02/01/2010 8:40   D
despinoza    02/01/2010 8:52   D
vbadani      02/01/2010 8:59   D
rvera        02/01/2010 9:05   D
lsaravia     02/01/2010 9:06   D
lsaravia     02/01/2010 12:30  0
jvargas      02/01/2010 12:31  0
ecotana      02/01/2010 12:31  D
rcoronel     02/01/2010 12:32  0
gmontano     02/01/2010 12:32  0
lgalindo     02/01/2010 12:33  0
czamora      02/01/2010 12:33  0
jsolorzano   02/01/2010 12:33  0
pramirez     02/01/2010 12:33  0
plema        02/01/2010 12:34  0
fsanchez     02/01/2010 12:34  0
jcanedo      02/01/2010 12:35  0
rvera        02/01/2010 12:35  0
rmartinez    02/01/2010 12:36  0
lortuno      02/01/2010 12:36  0
randia       02/01/2010 12:36  0
tarze        02/01/2010 12:36  0
rsoliz       02/01/2010 12:37  0
aponce       02/01/2010 12:38  0
bgranado     02/01/2010 12:41  0
mgrandillert 02/01/2010 12:41  0
baranibar    02/01/2010 12:41  0
tescriva     02/01/2010 12:44  0
vbadani      02/01/2010 12:45  0
eudaeta      02/01/2010 12:45  0
despinoza    02/01/2010 12:46  0
lortuno      02/01/2010 13:57  D
randia       02/01/2010 13:58  D
despinoza    02/01/2010 14:03  D
tarze        02/01/2010 14:13  D
vdaga        02/01/2010 14:14  D
jvargas      02/01/2010 14:14  D
gmontano     02/01/2010 14:21  D
jcanedo      02/01/2010 14:27  D
rmartinez    02/01/2010 14:27  D
jfuertes     02/01/2010 14:27  D
tescriva     02/01/2010 14:28  D
jsolorzano   02/01/2010 14:28  D
vbadani      02/01/2010 14:28  D
eyrady       02/01/2010 14:28  D
aponce       02/01/2010 14:29  D
mgrandillert 02/01/2010 14:29  D
pramirez     02/01/2010 14:30  D
