mayma        02/01/2010 08:03:26  D  D
hmantezana   02/01/2010 08:08:26  D  D
pclaros      02/01/2010 08:10:05  D  D
mescobar     02/01/2010 08:10:46  D  D
oferrufino   02/01/2010 08:10:57  D  D
jleano       02/01/2010 08:12:43  D  D
cquiroga     02/01/2010 08:14:30  D  D
icespedes    02/01/2010 08:14:42  D  D
msinaniz     02/01/2010 08:20:56  D  D
ievargas     02/01/2010 08:22:24  D  D
amaldonado   02/01/2010 08:22:45  D  D
mgarcia      02/01/2010 08:25:32  D  D
aencinas     02/01/2010 08:26:05  D  D
amachaca     02/01/2010 08:28:11  D  D
amachaca     02/01/2010 08:28:17  D  D
mjaldin      02/01/2010 08:29:36  D  D
jparra       02/01/2010 08:29:41  D  D
rvillarroel  02/01/2010 08:30:57  D  D
ebeltran     02/01/2010 08:31:57  D  D
jmita        02/01/2010 08:32:57  D  D
ovelarde     02/01/2010 08:35:06  D  D
rsoliz       02/01/2010 08:35:14  D  D
dmaldonado   02/01/2010 08:36:32  D  D
ozarate      02/01/2010 08:39:59  D  D
gaguilar     02/01/2010 08:40:17  D  D
bgranado     02/01/2010 08:40:26  D  D
dcastro      02/01/2010 08:43:01  D  D
jquispe      02/01/2010 08:43:10  D  D
pdaza        02/01/2010 08:50:15  D  D
hbranez      02/01/2010 08:50:47  D  D
eudaeta      02/01/2010 08:54:56  D  D
jaquispe     02/01/2010 08:56:00  D  D
agutierrez   02/01/2010 09:00:23  D  D
fvega        02/01/2010 09:06:47  D  D
jfuertes     02/01/2010 12:30:08  0  D
jquispe      02/01/2010 12:31:42  0  D
aencinas     02/01/2010 12:31:54  0  D
mayma        02/01/2010 12:32:04  0  D
hmantezana   02/01/2010 12:33:04  0  D
rvillarroel  02/01/2010 12:34:20  0  D
fvega        02/01/2010 12:34:33  0  D
msinaniz     02/01/2010 12:34:42  0  D
ebeltran     02/01/2010 12:35:08  0  D
mgarcia      02/01/2010 12:38:14  0  D
amaldonado   02/01/2010 12:38:55  0  D
gaguilar     02/01/2010 12:39:01  0  D
ievargas     02/01/2010 12:42:08  0  D
ozarate      02/01/2010 12:42:27  0  D
pclaros      02/01/2010 12:44:09  0  D
icespedes    02/01/2010 12:44:25  0  D
jmita        02/01/2010 12:44:31  0  D
jparra       02/01/2010 12:45:50  0  D
mjaldin      02/01/2010 12:46:11  0  D
pdaza        02/01/2010 12:46:20  0  D
dmaldonado   02/01/2010 12:46:29  0  D
hbranez      02/01/2010 12:46:37  0  D
agutierrez   02/01/2010 12:49:46  0  D
mescobar     02/01/2010 12:56:49  0  D
dayaviri     02/01/2010 12:58:04  0  D
jaquispe     02/01/2010 13:05:13  0  D
cquiroga     02/01/2010 13:33:05  0  D
vdaga        02/01/2010 13:46:20  0  D
mgarcia      02/01/2010 13:52:40  D  D
aencinas     02/01/2010 14:09:05  D  D
cquiroga     02/01/2010 14:09:21  D  D
dayaviri     02/01/2010 14:13:44  D  D
gaguilar     02/01/2010 14:18:26  D  D
rvillarroel  02/01/2010 14:23:29  D  D
msinaniz     02/01/2010 14:25:28  D  D
amaldonado   02/01/2010 14:25:36  D  D
hmantezana   02/01/2010 14:27:38  D  D
hbranez      02/01/2010 14:31:53  D  D
mjaldin      02/01/2010 14:33:04  D  D
ievargas     02/01/2010 14:33:13  D  D
icespedes    02/01/2010 14:34:35  D  D
ebeltran     02/01/2010 14:35:16  D  D
ozarate      02/01/2010 14:36:07  D  D
dcastro      02/01/2010 14:37:04  D  D
pdaza        02/01/2010 14:38:59  D  D
fvega        02/01/2010 14:41:22  D  D
agutierrez   02/01/2010 14:41:31  D  D
dmaldonado   02/01/2010 14:42:44  D  D
jparra       02/01/2010 14:42:50  D  D
bgranado     02/01/2010 14:43:04  D  D
mescobar     02/01/2010 14:51:47  D  D
jmita        02/01/2010 14:53:30  D  D
jaquispe     02/01/2010 15:08:58  D  D
agutierrez   02/01/2010 18:42:09  0  D
ebeltran     02/01/2010 18:46:24  0  D
rvillarroel  02/01/2010 19:02:10  0  D
mgarcia      02/01/2010 19:04:01  0  D
dayaviri     02/01/2010 19:07:43  0  D
msinaniz     02/01/2010 19:10:54  D  D
pdaza        02/01/2010 19:16:59  0  D
dmaldonado   02/01/2010 19:17:07  0  D
jparra       02/01/2010 19:24:07  0  D
amaldonado   02/01/2010 19:28:34  0  D
gaguilar     02/01/2010 19:28:41  0  D
hmantezana   02/01/2010 19:30:43  0  D
ievargas     02/01/2010 19:33:43  0  D
hbranez      02/01/2010 19:34:17  0  D
jmita        02/01/2010 19:37:05  0  D
rcoronel     02/01/2010 19:49:27  0  D
ozarate      02/01/2010 20:11:31  0  D
jaquispe     02/01/2010 20:20:42  0  D
icespedes    02/01/2010 20:30:02  0  D
mjaldin      02/01/2010 20:30:59  0  D
bgranado     02/01/2010 20:32:27  D  D
cquiroga     02/01/2010 20:32:35  0  D
pclaros      02/02/2010 07:48:00  D  D
nnumbela     02/02/2010 07:58:55  D  D
mjaldin      02/02/2010 08:13:46  D  D
hmantezana   02/02/2010 08:15:41  D  D
ovelarde     02/02/2010 08:16:30  D  D
jparra       02/02/2010 08:16:38  D  D
msinaniz     02/02/2010 08:20:13  D  D
jmita        02/02/2010 08:20:49  D  D
scastro      02/02/2010 08:24:10  D  D
ievargas     02/02/2010 08:26:20  D  D
amaldonado   02/02/2010 08:26:34  D  D
rcoronel     02/02/2010 08:27:29  D  D
mgarcia      02/02/2010 08:28:57  D  D
fprudencio   02/02/2010 08:29:07  D  D
dcastro      02/02/2010 08:32:20  D  D
dmaldonado   02/02/2010 08:32:39  D  D
pdaza        02/02/2010 08:33:47  D  D
ozarate      02/02/2010 08:33:56  D  D
bgranado     02/02/2010 08:35:58  D  D
ebeltran     02/02/2010 08:37:24  D  D
drocha       02/02/2010 08:37:33  D  D
gaguilar     02/02/2010 08:39:12  D  D
nzurita      02/02/2010 08:39:45  D  D
jromay       02/02/2010 08:39:53  D  D
jbalderrama  02/02/2010 08:47:07  D  D
cquiroga     02/02/2010 08:48:06  D  D
hbranez      02/02/2010 08:48:14  D  D
rvillarroel  02/02/2010 08:56:29  D  D
jaquispe     02/02/2010 08:59:52  D  D
agutierrez   02/02/2010 09:13:24  D  D
jfuertes     02/02/2010 12:30:06  0  D
ebeltran     02/02/2010 12:30:15  0  D
bgranado     02/02/2010 12:33:40  0  D
hmantezana   02/02/2010 12:33:50  D  D
fprudencio   02/02/2010 12:35:08  0  D
scastro      02/02/2010 12:35:34  0  D
jmita        02/02/2010 12:36:08  0  D
icespedes    02/02/2010 12:36:21  0  D
ozarate      02/02/2010 12:37:14  0  D
rvillarroel  02/02/2010 12:37:31  0  D
pdaza        02/02/2010 12:37:55  0  D
dmaldonado   02/02/2010 12:38:05  0  D
drocha       02/02/2010 12:38:35  0  D
jparra       02/02/2010 12:38:43  0  D
dcastro      02/02/2010 12:38:49  0  D
jquispe      02/02/2010 12:38:54  0  D
msinaniz     02/02/2010 12:39:03  0  D
mjaldin      02/02/2010 12:39:22  0  D
ievargas     02/02/2010 12:39:32  0  D
pclaros      02/02/2010 12:40:03  0  D
jaquispe     02/02/2010 12:40:14  0  D
dayaviri     02/02/2010 12:44:20  0  D
jromay       02/02/2010 12:48:09  0  D
cquiroga     02/02/2010 12:49:44  0  D
hbranez      02/02/2010 12:50:17  0  D
rcoronel     02/02/2010 12:50:32  D  D
agutierrez   02/02/2010 12:51:19  0  D
mgarcia      02/02/2010 12:52:15  0  D
amaldonado   02/02/2010 12:52:24  0  D
gaguilar     02/02/2010 12:52:42  D  D
gaguilar     02/02/2010 12:52:51  0  D
mgarcia      02/02/2010 13:52:48  D  D
jbalderrama  02/02/2010 14:15:46  0  D
jbalderrama  02/02/2010 14:16:15  D  D
hbranez      02/02/2010 14:17:13  D  D
ievargas     02/02/2010 14:24:51  D  D
amaldonado   02/02/2010 14:26:58  D  D
jparra       02/02/2010 14:30:33  D  D
msinaniz     02/02/2010 14:31:20  D  D
